진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,종로구,여,30~39세,0,0,0
2018,서울,종로구,여,40~49세,0,0,0
2018,서울,종로구,여,50~59세,57,203,22820380
2018,서울,종로구,여,60~69세,282,1184,117722630
2018,서울,종로구,여,70~79세,1121,4030,381860950
2018,서울,종로구,여,80~89세,1192,4648,371220280
2018,서울,종로구,여,90~99세,214,853,52921860
2018,서울,종로구,여,100세 이상,0,0,0
2018,서울,중구,남,0~9세,0,0,0
2018,서울,중구,남,10~19세,0,0,0
2018,서울,중구,남,20~29세,0,0,0
2018,서울,중구,남,30~39세,0,0,0
2018,서울,중구,남,40~49세,0,0,0
2018,서울,중구,남,50~59세,0,0,0
2018,서울,중구,남,60~69세,28,78,4159530
2018,서울,중구,남,70~79세,114,427,32865040
2018,서울,중구,남,80~89세,115,436,24217280
2018,서울,중구,남,90~99세,26,108,4418440
2018,서울,중구,남,100세 이상,0,0,0
2018,서울,중구,여,0~9세,0,0,0
2018,서울,중구,여,10~19세,0,0,0
2018,서울,중구,여,20~29세,0,0,0
2018,서울,중구,여,30~39세,0,0,0
2018,서울,중구,여,40~49세,0,0,0
2018,서울,중구,여,50~59세,0,0,0
2018,서울,중구,여,60~69세,42,152,14179200
2018,서울,중구,여,70~79세,221,811,66499140
2018,서울,중구,여,80~89세,361,1334,80390260
2018,서울,중구,여,90~99세,84,391,22023210
2018,서울,중구,여,100세 이상,0,0,0
2018,서울,송파구,남,0~9세,0,0,0
2018,서울,송파구,남,10~19세,0,0,0
2018,서울,송파구,남,20~29세,0,0,0
2018,서울,송파구,남,30~39세,0,0,0
2018,서울,송파구,남,40~49세,0,0,0
2018,서울,송파구,남,50~59세,22,408,24024370
2018,서울,송파구,남,60~69세,96,1124,79924020
2018,서울,송파구,남,70~79세,333,3752,248858980
2018,서울,송파구,남,80~89세,327,6273,454208150
2018,서울,송파구,남,90~99세,77,1346,100932090
2018,서울,송파구,남,100세 이상,0,0,0
2018,서울,송파구,여,0~9세,0,0,0
2018,서울,송파구,여,10~19세,0,0,0
2018,서울,송파구,여,20~29세,0,0,0
2018,서울,송파구,여,30~39세,0,0,0
2018,서울,송파구,여,40~49세,0,0,0
2018,서울,송파구,여,50~59세,34,220,18051240
2018,서울,송파구,여,60~69세,127,1517,102588950
2018,서울,송파구,여,70~79세,499,7046,534400180
2018,서울,송파구,여,80~89세,967,25975,1930120040
2018,서울,송파구,여,90~99세,314,12204,921302660
2018,서울,송파구,여,100세 이상,0,0,0
2018,서울,중랑구,남,0~9세,0,0,0
2018,서울,중랑구,남,10~19세,0,0,0
2018,서울,중랑구,남,20~29세,0,0,0
2018,서울,중랑구,남,30~39세,0,0,0
2018,서울,중랑구,남,40~49세,0,0,0
2018,서울,중랑구,남,50~59세,14,418,30557890
2018,서울,중랑구,남,60~69세,92,600,47087070
2018,서울,중랑구,남,70~79세,320,3171,248423590
2018,서울,중랑구,남,80~89세,350,2395,166113200
2018,서울,중랑구,남,90~99세,54,374,30406580
2018,서울,중랑구,남,100세 이상,0,0,0
2018,서울,중랑구,여,0~9세,0,0,0
2018,서울,중랑구,여,10~19세,0,0,0
2018,서울,중랑구,여,20~29세,0,0,0
2018,서울,중랑구,여,30~39세,0,0,0
2018,서울,중랑구,여,40~49세,0,0,0
2018,서울,중랑구,여,50~59세,17,199,16250320
2018,서울,중랑구,여,60~69세,115,693,60318050
2018,서울,중랑구,여,70~79세,568,4701,363332130
2018,서울,중랑구,여,80~89세,1003,10626,771388310
2018,서울,중랑구,여,90~99세,286,3541,222387510
2018,서울,중랑구,여,100세 이상,0,0,0
2018,서울,양천구,남,0~9세,0,0,0
2018,서울,양천구,남,10~19세,0,0,0
2018,서울,양천구,남,20~29세,0,0,0
2018,서울,양천구,남,30~39세,0,0,0
2018,서울,양천구,남,40~49세,0,0,0
2018,서울,양천구,남,50~59세,14,34,2258460
2018,서울,양천구,남,60~69세,112,372,26367710
2018,서울,양천구,남,70~79세,370,2932,236245960
2018,서울,양천구,남,80~89세,378,2557,187878240
2018,서울,양천구,남,90~99세,53,664,46975290
2018,서울,양천구,남,100세 이상,0,0,0
2018,서울,양천구,여,0~9세,0,0,0
2018,서울,양천구,여,10~19세,0,0,0
2018,서울,양천구,여,20~29세,0,0,0
2018,서울,양천구,여,30~39세,0,0,0
2018,서울,양천구,여,40~49세,0,0,0
2018,서울,양천구,여,50~59세,29,208,12251610
2018,서울,양천구,여,60~69세,152,626,47214730
2018,서울,양천구,여,70~79세,709,4146,322875650
2018,서울,양천구,여,80~89세,1111,6874,454604120
2018,서울,양천구,여,90~99세,262,3019,229323130
2018,서울,양천구,여,100세 이상,0,0,0
2018,서울,서초구,남,0~9세,0,0,0
2018,서울,서초구,남,10~19세,0,0,0
2018,서울,서초구,남,20~29세,0,0,0
2018,서울,서초구,남,30~39세,0,0,0
2018,서울,서초구,남,40~49세,12,25,2404610
2018,서울,서초구,남,50~59세,23,60,5477490
2018,서울,서초구,남,60~69세,105,543,47988300
2018,서울,서초구,남,70~79세,382,1537,165691080
2018,서울,서초구,남,80~89세,412,3218,296490330
2018,서울,서초구,남,90~99세,61,1093,85736490
2018,서울,서초구,남,100세 이상,0,0,0
2018,서울,서초구,여,0~9세,0,0,0
2018,서울,서초구,여,10~19세,0,0,0
2018,서울,서초구,여,20~29세,0,0,0
2018,서울,서초구,여,30~39세,0,0,0
2018,서울,서초구,여,40~49세,0,0,0
2018,서울,서초구,여,50~59세,49,197,17371060
2018,서울,서초구,여,60~69세,199,730,95157630
2018,서울,서초구,여,70~79세,781,4023,379434380
2018,서울,서초구,여,80~89세,1115,18460,1474912540
2018,서울,서초구,여,90~99세,288,8832,664973430
2018,서울,서초구,여,100세 이상,10,303,22412610
2018,서울,노원구,남,0~9세,0,0,0
2018,서울,노원구,남,10~19세,0,0,0
2018,서울,노원구,남,20~29세,0,0,0
2018,서울,노원구,남,30~39세,0,0,0
2018,서울,노원구,남,40~49세,0,0,0
2018,서울,노원구,남,50~59세,23,71,8154910
2018,서울,노원구,남,60~69세,126,1028,84876470
2018,서울,노원구,남,70~79세,465,4893,395631000
2018,서울,노원구,남,80~89세,475,7680,645432970
2018,서울,노원구,남,90~99세,52,985,75927370
2018,서울,노원구,남,100세 이상,0,0,0
2018,서울,노원구,여,0~9세,0,0,0
2018,서울,노원구,여,10~19세,0,0,0
2018,서울,노원구,여,20~29세,0,0,0
2018,서울,노원구,여,30~39세,0,0,0
2018,서울,노원구,여,40~49세,0,0,0
2018,서울,노원구,여,50~59세,29,147,13372630
2018,서울,노원구,여,60~69세,229,2779,238808270
2018,서울,노원구,여,70~79세,980,8253,722816370
2018,서울,노원구,여,80~89세,1425,24363,1913448940
2018,서울,노원구,여,90~99세,313,9779,728819050
2018,서울,노원구,여,100세 이상,0,0,0
2018,서울,광진구,남,0~9세,0,0,0
2018,서울,광진구,남,10~19세,0,0,0
2018,서울,광진구,남,20~29세,0,0,0
2018,서울,광진구,남,30~39세,0,0,0
2018,서울,광진구,남,40~49세,0,0,0
2018,서울,광진구,남,50~59세,23,82,8447260
2018,서울,광진구,남,60~69세,126,1042,91757400
2018,서울,광진구,남,70~79세,470,2846,263062800
2018,서울,광진구,남,80~89세,406,2376,186210830
2018,서울,광진구,남,90~99세,50,460,33487310
2018,서울,광진구,남,100세 이상,0,0,0
2018,서울,광진구,여,0~9세,0,0,0
